,post,type,symptom,label
11,"Despite feeling emotionally numb, I have recurrent suicidal ideation without a specific plan, a persistent sense of melancholy, and a marked lack of motivation towards any significant activities.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
12,"I consistently feel emotionally heavy and am plagued by a pervasive sense of pessimism about my future, coupled with intrusive thoughts about dying and a noticeable disinterest in things I used to enjoy.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
13,"My emotional state is characterized by persistent feelings of sadness and dread about the future, along with recurrent thoughts of self-harm and a marked decline in my engagement with significant activities.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
14,"The distressing combination of a persistent low mood, a feeling of hopelessness regarding personal growth, and recurrent suicidal ideas significantly impairs my ability to engage with life meaningfully.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
15,"I can't see anything getting better, and I often think about ending it because I just don't care about anything anymore.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
16,"Every day feels pointless, and I'm just so done feeling this empty. Sometimes I think maybe I'd be better off not being here.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
17,"I don't even remember the last time I was happy. I feel like nothing will ever change, and I can't stop thinking about ways to make it all stop.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
18,"I keep having these thoughts about dying, and it scares me how much I just don't care about anything anymore.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
19,"Life feels like a constant struggle, and the idea of it ever improving just doesn't exist for me. I can't stop these dark thoughts from popping up.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
20,"I exhibit markedly diminished interest in significant activities, accompanied by persistent low mood and sleep disturbances such as difficulty staying asleep.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
21,"I experience a persistent sense of melancholy, feel emotionally numb, and this coincides with restless sleep and a lack of motivation to engage in previously enjoyable activities.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
22,"I have lost motivation to pursue personal goals, feel a persistent low mood, and suffer from insomnia with frequent awakenings at night.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
23,"My depressed mood is pervasive, I feel detached from others, and I experience irregular sleep patterns with difficulty initiating sleep.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
24,"I am experiencing a distressing sense of incompleteness, a failure to derive pleasure from hobbies, and nocturnal panic attacks interrupting my sleep.",clinical,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
25,"I just don't care about the things I used to love, I'm always sad, and I can't get a good night's sleep no matter how hard I try.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
26,"I feel like I'm in a constant fog, nothing makes me happy anymore, and my sleep is all over the place.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
27,"I keep feeling this heavy sadness, I don't want to hang out with anyone, and my sleep is so restless.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
28,"I'm always feeling down, lost interest in everything, and can't seem to get a decent sleep without waking up multiple times.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
29,"I don't have any motivation anymore, life feels empty, and sleep just doesn't come easy, it's full of nightmares and interruptions.",colloquial,"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
30,"I am experiencing recurrent episodes of binge eating, followed by significant fatigue and difficulty maintaining restful sleep.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
31,"Despite a notable reduction in appetite, I encounter persistent insomnia and constant tiredness throughout the day.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
32,"I find myself engaging in secretive eating behaviors, often accompanied by restless, unsatisfying sleep and a pervasive lack of energy.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
33,"There are fluctuations in my weight due to irregular eating patterns, severe sleep disturbances, and persistent feelings of exhaustion.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
34,"I experience difficulty maintaining a regular appetite, coupled with insomnia and a constant sense of tiredness that affects my daily functioning.",clinical,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
35,"I'm so tired all the time, can't sleep well, and I either eat too much or don't feel like eating at all.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
36,"I can't control my eating, I'm exhausted, and no matter how long I lie in bed, I can't get a good night's sleep.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
37,"I'm either force-feeding myself or binging, sleeping like crap, and just feeling drained constantly.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
38,"I eat everything in sight or nothing at all, can't stay asleep, and feel like I have zero energy.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
39,"I'm losing weight, sleep is a mess, and I feel like a zombie with no energy.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
40,"I experience frequent sleep disturbances characterized by difficulty falling asleep and frequent awakenings, coupled with an inability to remain still and persistent fidgeting, which contribute to a marked lack of interest in activities I used to enjoy and a pervasive sense of low mood.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
41,"I find myself constantly on the move, often driven by an uncontrollable urge to act, which exacerbates my insomnia and results in the abandonment of previously fulfilling activities, alongside a persistent feeling of melancholy.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
42,"My sleep is frequently disrupted by racing thoughts, leaving me feeling restless and unable to sit through any task, a condition that has greatly diminished my interest in social and leisure activities, while also sustaining a consistent low mood.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
43,"I am often unable to relax, experiencing a constant need to move or engage in purposeless activities, which complicates my sleep patterns and results in a significant reduction in motivation and ongoing depressive symptoms.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
44,"My nightly insomnia is compounded by a constant restlessness and the inability to engage quietly in any activity, causing a profound loss of interest in my surroundings and a continuous emotional heaviness.",clinical,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
45,"I can't sit still for a minute and it's messing up my sleep. All this movement leaves me too exhausted to care about anything I used to like, but I'm still stuck in a bad mood.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
46,"I'm always feeling this itch to move, can't even sleep because my mind won't shut up, and I just don't wanna do anything anymore. Everything feels so gray and dull.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
47,"I'm tossing and turning all night, and then during the day, it's like I can't stop moving, but nothing excites me anymore. It's like I'm stuck in this sad loop.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
48,"No matter how hard I try, I can't stay still or fall asleep. It's driving me crazy, and now I'm just not interested in anything, feeling down all the time.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
49,"I can't relax or sleep right, always feeling this restlessness, and it's made me lose interest in everything. It's just a constant feeling of sadness now.",colloquial,"['Depressed_Mood', 'Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
50,"I frequently experience a marked lack of interest in activities that once brought me joy, accompanied by an overwhelming sense of fatigue even after adequate rest.",clinical,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
51,"My daily life is severely impacted by a persistent inability to experience positive emotions, and I find myself devoid of energy to engage in previously significant activities.",clinical,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
52,I have been facing pronounced difficulty in initiating or completing tasks due to a persistent sense of tiredness and a diminished interest in those tasks.,clinical,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
53,"There is a sustained fatigue that leaves me feeling physically and mentally sluggish, coupled with a reduced desire to pursue personal goals or ambitions.",clinical,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
54,I exhibit social withdrawal and neglect pleasurable activities due to a pervasive lack of motivation and a constant sense of exhaustion.,clinical,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
55,I feel like I can't get excited about anything anymore and just getting out of bed feels like climbing a mountain.,colloquial,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
56,"I used to love hanging out with friends, but now I'm always too tired and just don't care.",colloquial,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
57,Even small tasks seem impossible because I'm constantly exhausted and nothing seems interesting anymore.,colloquial,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
58,I feel like I'm dragging myself through each day with zero energy and no interest in anything I used to enjoy.,colloquial,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
59,I'm so tired all the time and things that once made me happy now just feel like chores.,colloquial,"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
60,"I experience a persistent low mood, coupled with overwhelming feelings of guilt and recurrent suicidal ideation.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
61,"Persistent feelings of sadness and worthlessness plague me, accompanied by intrusive thoughts of ending my life.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
62,"I find myself tearful due to a pervasive sense of despair and guilt, alongside recurrent thoughts of self-harm.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
63,"I feel emotionally numb and burdened by self-reproach, frequently imagining scenarios of my own death.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
64,"Experiencing a distressing sense of incompleteness, I am consumed by guilt and have persistent thoughts about not wanting to live.",clinical,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
65,"Sometimes I cry for no reason and feel so worthless, like nothing I do matters, and I just want it all to end.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
66,"I hate myself for all my mistakes, and thinking about ending it all seems like the only way to stop this pain.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
67,"Every day feels heavy and pointless, and I can't stop thinking about how much better it would be if I wasn't here.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
68,"I feel like I'm a burden to everyone, and the idea of just disappearing for good crosses my mind all the time.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
69,"I'm stuck in this cycle of sadness and guilt, and sometimes I just wish I could fall asleep and not wake up.",colloquial,"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
70,I experience a pervasive sense of gloom alongside a persistent feeling that my future hopes and plans will not come true.,clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
71,Feeling emotionally numb is coupled with a belief that any effort I make won't lead to success.,clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
72,I am persistently sad and have a distressing sense that setbacks in my life are permanent and pervasive.,clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
73,My persistent low mood is accompanied by a feeling of hopelessness regarding my personal growth or improvement.,clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
74,I endure a sense of emotional heaviness and simultaneously doubt the possibility of achieving my personal goals.,clinical,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
75,I can’t stop crying and feel like nothing good will ever happen to me.,colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
76,I feel so empty and just know all of my efforts will go to waste.,colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
77,I'm always sad and can't help but think everything will keep going wrong.,colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
78,"I feel like crap all the time, and no matter what I do, I can't shake the feeling that I'll never get better.",colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
79,I feel heavy and can't see any point in trying because nothing will change for the better.,colloquial,"['Depressed_Mood', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
80,"I struggle with a persistent loss of interest in activities, compounded by pervasive feelings of worthlessness and a pervasive pessimism about my future prospects.",clinical,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
81,"I often experience a marked lack of engagement in social activities, accompanied by self-critical thoughts and a belief that my efforts will ultimately end in failure.",clinical,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
82,The diminished interest in hobbies I once loved is intertwined with intense feelings of guilt and a belief that my future is bleak and filled with unrelenting setbacks.,clinical,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
83,"I find myself withdrawing from social interactions, feeling a deep-seated guilt about my perceived failures, and adopting a consistently negative outlook on life.",clinical,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
84,"There is a notable disinterest in maintaining personal relationships, which is exacerbated by self-reproach and a pervasive sense of hopelessness regarding any potential for meaningful change.",clinical,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
85,"I just don't care about things anymore, and I feel like a total failure, like nothing good can happen to me.",colloquial,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
86,"I can't find the motivation to do anything, and I'm constantly beating myself up for my mistakes, thinking everything's going to turn out badly anyway.",colloquial,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
87,"It feels like nothing matters, I'm always feeling guilty about something, and I can't shake this feeling that my future's doomed.",colloquial,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
88,"I've stopped caring about everything, I'm full of regret, and I just can't see any possibility of things getting better.",colloquial,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
89,"I feel so disconnected from the world, carrying around guilt and the belief that nothing will change for the better.",colloquial,"['Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
90,"I experience significant weight fluctuations and insomnia, combined with a pervasive low mood and feelings of despair.",clinical,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
91,"Despite forcing myself to eat various foods, I suffer from restless sleep and an overwhelming sense of emotional numbness.",clinical,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
92,"My episodes of binge eating alternate with insomnia, all while I'm engulfed in a persistent feeling of sadness and emotional heaviness.",clinical,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
93,"I experience irregular sleeping patterns and repeatedly lose weight due to a complete lack of interest in food, while battling a persistent low mood.",clinical,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
94,"I endure frequent nocturnal awakenings and find myself overeating aimlessly, all within a context of chronic depressive symptoms and a relentless sense of emptiness.",clinical,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
95,"I can't stop eating junk food and barely sleep at night, and I'm just always feeling down.",colloquial,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
96,"I skip meals but can't sleep either, and I'm just feeling so empty all the time.",colloquial,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
97,"I'm stuffing myself even though I'm not hungry and I can't seem to get any rest, plus I'm always feeling sad.",colloquial,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
98,"I eat a ton but have no energy to sleep properly, and it's like I'm drowning in this constant sadness.",colloquial,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
99,"Eating's all over the place, sleep sucks, and the depression never really leaves me alone.",colloquial,"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
100,"I experience persistent feelings of sadness and hopelessness about my future, along with a pronounced sense of worthlessness that diminishes my interest in daily activities.",clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
101,I feel emotionally numb and assume that all my efforts are futile. This leads to a declining interest in things I once enjoyed. I also harbor an exaggerated sense of self-blame.,clinical,"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
