,post,type,symptom,description,label
61,I yelled at my phone today for not working fast enough.,colloquial,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,There are frequent occurrences where I express verbal aggression towards objects around me.,clinical,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,I cursed out my computer when it froze during my work.,colloquial,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,I exhibit significant verbal aggression directed at inanimate items during moments of irritability.,clinical,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,I was yelling at the remote because it wouldn't change channels.,colloquial,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,I often direct verbal hostility towards objects that seem to malfunction or obstruct my tasks.,clinical,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,I found myself shouting at my keys when I couldn't find them this morning.,colloquial,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,I notice a recurring pattern of verbally aggressive responses toward inanimate items when agitated.,clinical,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,I ended up swearing at the vacuum cleaner because it wasn't picking up dirt properly.,colloquial,Anger_Irritability,Verbal aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"I experience episodes where I feel a strong, uncontrollable urge to physically harm others.",clinical,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,I feel like I'm about to explode and end up lashing out physically at people.,colloquial,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"When my irritability peaks, I find myself engaging in aggressive behavior towards others.",clinical,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,I get so mad that I can't help but shove or hit someone nearby.,colloquial,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"In moments of heightened anger, I resort to physical aggression towards those around me.",clinical,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,I often end up physically fighting with people when I'm really pissed off.,colloquial,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"During intense bouts of irritability, I become physically aggressive towards others.",clinical,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,"I can't control it sometimes, and I just end up hitting someone in a fit of rage.",colloquial,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,I find myself acting out with physical aggression towards people when overwhelmed by anger.,clinical,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,I get so angry that I just hit the first person I see.,colloquial,Anger_Irritability,Physical aggression toward people,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,I experience frequent episodes of physically aggressive behavior toward objects when feeling overwhelmed by irritability.,clinical,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,I find myself throwing things when I get angry and can't control it.,colloquial,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,"When I become irritable, I sometimes resort to hitting or breaking objects in my environment.",clinical,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,I end up smashing stuff when my anger takes over.,colloquial,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,"During episodes of anger, I display physical aggression by damaging objects around me.",clinical,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,I can't help but kick or knock things over when I'm really pissed off.,colloquial,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,I demonstrate physical aggression toward objects as a response to heightened irritability.,clinical,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,"Whenever I get mad, I tend to throw stuff around without thinking.",colloquial,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,I have a tendency to engage in destructive behavior toward objects when experiencing intense anger.,clinical,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,I just can't stop myself from breaking things when I'm furious.,colloquial,Anger_Irritability,Physical aggression toward objects,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,I experience frequent mood swings characterized by heightened irritability.,clinical,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,"I keep getting mad over the smallest things, and I can't seem to control it.",colloquial,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,"My mood fluctuates often, and I easily become irritable with minimal provocation.",clinical,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,"I get really snappy out of nowhere, and it's like my mood just flips.",colloquial,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,"I experience rapid mood changes, and my irritability levels are significantly elevated.",clinical,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,"One minute I'm fine, the next I'm just super annoyed without a clear reason.",colloquial,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,"I frequently undergo mood swings, often feeling irritable without an obvious trigger.",clinical,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,I can't handle minor annoyances anymore; my mood just flips so fast.,colloquial,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,"There are recurrent and unpredictable fluctuations in my mood, often resulting in irritability.",clinical,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,"My mood goes up and down a lot, and I'm quick to get angry these days.",colloquial,Anger_Irritability,Experiencing frequent mood swings,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,I frequently experience an increased level of irritability and find myself unable to tolerate even minor frustrations.,clinical,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,I can't seem to handle anything without snapping at people for no reason.,colloquial,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,"I have noticed a marked decrease in my frustration tolerance, leading to frequent outbursts.",clinical,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,"Everything gets on my nerves these days, and I lose my temper so easily.",colloquial,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104,I exhibit disproportionate anger responses to situations that previously would not have bothered me.,clinical,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105,"Lately, I just can't keep my cool; the smallest things set me off.",colloquial,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,I am experiencing heightened irritability and an increased frequency of anger episodes.,clinical,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,I feel like I'm constantly on edge and ready to snap at anyone.,colloquial,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,There is a persistent and noticeable reduction in my capacity to manage frustration without exhibiting anger.,clinical,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109,"I'm just so fed up with everything, and I can't stop myself from getting angry over the smallest things.",colloquial,Anger_Irritability,Having a low tolerance for frustration,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,I find myself experiencing intense irritability over minor inconveniences.,clinical,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,Why do I get so pissed off over the smallest things?,colloquial,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,I'm prone to experiencing disproportionate anger in response to trivial setbacks.,clinical,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
113,I keep losing my cool over stuff that shouldn't even matter.,colloquial,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,I react with excessive anger to situations that are objectively minor.,clinical,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,Little things get under my skin way more than they should.,colloquial,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,Even minor annoyances can trigger a heightened state of irritability in me.,clinical,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
117,I can't seem to shake off this anger at the tiniest things.,colloquial,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
118,I exhibit an exaggerated emotional response to relatively inconsequential events.,clinical,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
119,Why do stupid little things make me so mad these days?,colloquial,Anger_Irritability,Reacting disproportionately to minor annoyances,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120,I experience persistent irritability and find myself easily agitated by minor stimuli.,clinical,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121,I feel like I'm going to snap at any moment these days.,colloquial,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122,"Small annoyances cause disproportionate anger, which I struggle to control.",clinical,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123,I can't believe how short my fuse has gotten lately.,colloquial,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124,"My baseline mood is one of consistent agitation, which affects my daily functioning.",clinical,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
125,I'm constantly on edge and it feels like everything irritates me.,colloquial,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
126,I exhibit a chronic state of anger that is atypical for my usual demeanor.,clinical,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
127,"Lately, I feel super annoyed all the time and it's exhausting.",colloquial,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
128,There is a pervasive sense of irritability that I can't seem to shake off.,clinical,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,"Even the smallest things make me angry now, and I hate feeling like this.",colloquial,Anger_Irritability,Feeling a constant sense of agitation,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130,I experience persistent irritability and struggle to return to a calm state after an upsetting event.,clinical,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,I get so mad and can't calm down for hours after something upsets me.,colloquial,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,"After becoming upset, I find it challenging to regulate my emotions and my anger lingers.",clinical,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133,"Once I'm pissed off, it's like I stay heated all day.",colloquial,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,"Even after the initial trigger, I remain irritable and struggle with emotional regulation.",clinical,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
135,I just can't seem to chill out after something ticks me off.,colloquial,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
136,I find it difficult to return to baseline emotional levels after experiencing a surge of anger.,clinical,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,"Once something sets me off, it feels like I'm stuck in a bad mood for ages.",colloquial,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
138,I have trouble calming down and my irritability persists long after being initially upset.,clinical,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,"When I get angry, it just simmers for hours and I can’t let it go.",colloquial,Anger_Irritability,Experiencing difficulty in calming down after being upset,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
140,I experience a persistent and pervasive state of irritability that is difficult to control.,clinical,Anger_Irritability,Feeling a persistent sense of restlessness,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
