symptoms
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas', 'Sleep_disturbance']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Suicidal_ideas', 'Depressed_Mood', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Worthlessness_and_guilty', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness', 'Poor_memory']"
"['Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Suicidal_ideas']"
"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Inattention', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Pessimism', 'Suicidal_ideas', 'Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Anger_Irritability', 'Loss_of_interest_or_motivation']"
"['Loss_of_interest_or_motivation', 'Inattention']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue']"
"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']"
"['Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Pessimism']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Loss_of_interest_or_motivation', 'Suicidal_ideas', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Pessimism', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Inattention', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Pessimism', 'Depressed_Mood']"
"['Worthlessness_and_guilty', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Anger_Irritability', 'Indecisiveness']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Inattention']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Genitourinary_symptoms']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Genitourinary_symptoms', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Pessimism', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Inattention']"
"['Depressed_Mood', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Poor_memory', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Indecisiveness', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Indecisiveness', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism', 'Weight_and_appetite_change']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Weight_and_appetite_change']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty']"
"['Anger_Irritability', 'Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Pessimism']"
"['Hyperactivity_agitation', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Weight_and_appetite_change']"
"['Decreased_energy_tiredness_fatigue', 'Inattention', 'Poor_memory']"
"['Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Anger_Irritability', 'Depressed_Mood', 'Hyperactivity_agitation']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Pessimism']"
"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation']"
"['Worthlessness_and_guilty', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Poor_memory']"
"['Suicidal_ideas', 'Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Inattention', 'Indecisiveness']"
"['Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Inattention', 'Sleep_disturbance']"
"['Depressed_Mood', 'Indecisiveness']"
"['Worthlessness_and_guilty', 'Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Genitourinary_symptoms', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Sleep_disturbance', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Inattention']"
"['Decreased_energy_tiredness_fatigue', 'Inattention', 'Poor_memory']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Indecisiveness', 'Worthlessness_and_guilty']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Worthlessness_and_guilty']"
"['Suicidal_ideas', 'Depressed_Mood']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Worthlessness_and_guilty', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Hyperactivity_agitation', 'Loss_of_interest_or_motivation', 'Inattention']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Depressed_Mood', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Inattention', 'Loss_of_interest_or_motivation']"
"['Hyperactivity_agitation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Pessimism', 'Poor_memory']"
"['Decreased_energy_tiredness_fatigue', 'Depressed_Mood', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Suicidal_ideas', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Pessimism']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Hyperactivity_agitation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Anger_Irritability', 'Depressed_Mood', 'Indecisiveness', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Poor_memory']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Inattention', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Pessimism', 'Sleep_disturbance']"
"['Depressed_Mood', 'Genitourinary_symptoms', 'Sleep_disturbance']"
"['Anger_Irritability', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Weight_and_appetite_change']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Poor_memory', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Anger_Irritability', 'Decreased_energy_tiredness_fatigue', 'Pessimism']"
"['Depressed_Mood', 'Genitourinary_symptoms']"
"['Depressed_Mood', 'Weight_and_appetite_change', 'Decreased_energy_tiredness_fatigue']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Weight_and_appetite_change', 'Sleep_disturbance']"
"['Inattention', 'Poor_memory', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Pessimism', 'Suicidal_ideas']"
"['Genitourinary_symptoms', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Indecisiveness']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Inattention']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Poor_memory']"
"['Depressed_Mood', 'Indecisiveness', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Anger_Irritability', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Inattention']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Poor_memory', 'Decreased_energy_tiredness_fatigue']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Indecisiveness', 'Genitourinary_symptoms']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Suicidal_ideas']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Inattention', 'Poor_memory', 'Indecisiveness']"
"['Depressed_Mood', 'Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Loss_of_interest_or_motivation', 'Worthlessness_and_guilty', 'Pessimism']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Anger_Irritability', 'Depressed_Mood', 'Decreased_energy_tiredness_fatigue']"
"['Genitourinary_symptoms', 'Sleep_disturbance']"
"['Hyperactivity_agitation', 'Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Pessimism', 'Depressed_Mood', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Hyperactivity_agitation']"
"['Anger_Irritability', 'Depressed_Mood', 'Worthlessness_and_guilty', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Loss_of_interest_or_motivation']"
"['Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Depressed_Mood', 'Pessimism']"
"['Depressed_Mood', 'Inattention', 'Worthlessness_and_guilty']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Hyperactivity_agitation', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Anger_Irritability']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Inattention']"
"['Depressed_Mood', 'Pessimism', 'Poor_memory']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Worthlessness_and_guilty']"
"['Sleep_disturbance', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Inattention', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Suicidal_ideas', 'Pessimism']"
"['Anger_Irritability', 'Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Indecisiveness', 'Poor_memory']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Pessimism']"
"['Depressed_Mood', 'Anger_Irritability', 'Sleep_disturbance']"
"['Depressed_Mood', 'Suicidal_ideas', 'Worthlessness_and_guilty', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Poor_memory', 'Indecisiveness']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Suicidal_ideas']"
"['Depressed_Mood', 'Inattention', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Suicidal_ideas', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Decreased_energy_tiredness_fatigue', 'Loss_of_interest_or_motivation', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Anger_Irritability', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Pessimism', 'Suicidal_ideas']"
"['Depressed_Mood', 'Poor_memory', 'Indecisiveness']"
"['Loss_of_interest_or_motivation', 'Decreased_energy_tiredness_fatigue', 'Sleep_disturbance']"
"['Depressed_Mood', 'Genitourinary_symptoms']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Inattention', 'Worthlessness_and_guilty']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Sleep_disturbance']"
"['Depressed_Mood', 'Decreased_energy_tiredness_fatigue', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Suicidal_ideas', 'Pessimism']"
"['Decreased_energy_tiredness_fatigue', 'Sleep_disturbance', 'Weight_and_appetite_change']"
"['Depressed_Mood', 'Hyperactivity_agitation', 'Indecisiveness']"
"['Depressed_Mood', 'Worthlessness_and_guilty', 'Loss_of_interest_or_motivation', 'Pessimism']"
"['Depressed_Mood', 'Loss_of_interest_or_motivation', 'Poor_memory']"
