Unnamed: 0,post,type,symptom,description,label
7466.0,"Although suicidal ideation is present frequently, there is an absence of a devised method or plan.",clinical,Suicidal_ideas,Having recurrent suicidal ideation without a specific plan,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
934.0,I experience pervasive irritability and hostility towards others that impacts my daily interactions.,clinical,Anger_Irritability,Experiencing a sense of hostility towards others,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
9928.0,I struggle with initiating and completing tasks due to significantly reduced motivation.,clinical,Loss_of_interest_or_motivation,Difficulty in initiating or completing tasks.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
9676.0,I lack the motivation to initiate or follow through with my academic tasks.,clinical,Loss_of_interest_or_motivation,Reduced engagement in work or academic responsibilities.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4588.0,I manifest a pattern of initiating numerous undertakings without achieving closure on them.,clinical,Hyperactivity_agitation,Exhibits a tendency to start multiple tasks without completing them,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
6156.0,I consistently overlook my environment and lose track of where I have placed items around the house.,clinical,Inattention,Difficulty finding things at home,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9797.0,"I used to really love things, but now I just feel empty and uninterested in everything.",colloquial,Loss_of_interest_or_motivation,Feeling emotionally numb or disconnected from surroundings.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
12636.0,The physical discomfort during the night leads to significant sleep disturbance.,clinical,Sleep_disturbance,Experiencing physical discomfort or pain that disrupts sleep,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
7679.0,I can't shake off the idea that death would be a relief.,colloquial,Suicidal_ideas,Experiencing intrusive thoughts about dying,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12272.0,I often take unintended naps throughout the day despite getting substantial nighttime sleep.,clinical,Sleep_disturbance,Increased daytime sleep,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
4858.0,Frequent cognitive disruptions impair my capacity to conduct fluid and organized discussions.,clinical,Inattention,Difficulty in holding a rational conversation,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
8951.0,I often blame myself for things that aren't even my fault.,colloquial,Worthlessness_and_guilty,Experiencing low self-esteem,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
86.0,I experience heightened irritability in response to encounter reminders linked to the past trauma.,clinical,Anger_Irritability,Feeling emotionally upset when reminded of the traumatic event,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1826.0,I have an enduring sense of emptiness and hopelessness that colors my daily life.,clinical,Depressed_Mood,,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
10007.0,All my relationships just feel like too much effort right now.,colloquial,Loss_of_interest_or_motivation,Loss of interest in maintaining relationships.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
198.0,"My threshold for irritability is considerably lowered, resulting in excessive frustration.",clinical,Anger_Irritability,Exhibiting increased irritability,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
8192.0,I frequently have intrusive thoughts about ending my life.,clinical,Suicidal_ideas,Experiencing a preoccupation with death-related themes,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12774.0,I have frequent episodes where I experience a transient paralysis during transitions in sleep.,clinical,Sleep_disturbance,Experiencing sleep paralysis,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
5066.0,I habitually circumvent activities that necessitate prolonged mental focus due to difficulty maintaining attention.,clinical,Inattention,Avoids tasks that require sustained mental effort,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
1040.0,I experience a pervasive sense of fatigue that is disproportionate to my level of activity.,clinical,Decreased_energy_tiredness_fatigue,Being easily fatigued.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
447.0,I lost my temper again today and hit someone.,colloquial,Anger_Irritability,Physical aggression toward people,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
7464.0,"Recurrent suicidal thoughts occur, yet I find myself without a concrete plan to act on them.",clinical,Suicidal_ideas,Having recurrent suicidal ideation without a specific plan,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3090.0,I am experiencing abnormally heavy menstrual bleeding that requires changing sanitary protection more frequently than normal.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
8611.0,I'm constantly feeling like I'm just a burden to everyone around me.,colloquial,Worthlessness_and_guilty,"Holding persistent and exaggerated negative beliefs or expectations about oneself, others, or the world","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
10567.0,"Every time I hope for the best, it never happens. What's the point?",colloquial,Pessimism,Believing that positive changes are unlikely to occur,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
13429.0,I can't figure out why I'm getting so much heavier lately.,colloquial,Weight_and_appetite_change,Gaining weight,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
2967.0,I don't get my periods at all anymore and it's making me worry.,colloquial,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
5810.0,I frequently make careless mistakes in my work tasks due to inattention.,clinical,Inattention,Makes careless mistakes at work,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9705.0,"Lately, I just don't care about showing up to my job.",colloquial,Loss_of_interest_or_motivation,Reduced engagement in work or academic responsibilities.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
10584.0,My expectations consistently align with the assumption that unfavorable conditions will persist.,clinical,Pessimism,Feeling resigned to a negative or unchanging future,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
2164.0,There is a predominant absence of any affective response in my daily experiences.,clinical,Depressed_Mood,Feeling emotionally numb,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
11253.0,"It's embarrassing to admit, but I often forget what my coworkers are called.",colloquial,Poor_memory,Difficulty recalling names of acquaintances or colleagues,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
13702.0,"My appetite has decreased drastically, resulting in noticeable weight loss.",clinical,Weight_and_appetite_change,Experiencing fluctuations in weight over a short period,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
8082.0,I occasionally have intrusive thoughts of self-inflicted harm without any plans to follow through.,clinical,Suicidal_ideas,Having fleeting thoughts of self-inflicted harm,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
12224.0,"Prolonged sleep episodes during the night dominate my sleep patterns, leading to hypersomnia diagnosis.",clinical,Sleep_disturbance,Prolonged sleep episodes at night,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
2546.0,There is a persistent sense of despair that seems to be unresponsive to any positive events.,clinical,Depressed_Mood,Feeling a sense of despair,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
7409.0,I'm terrified that I can't get the idea of dying out of my head.,colloquial,Suicidal_ideas,Experiencing fear of dying,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3651.0,"No matter how hard I try, I just can't reach climax.",colloquial,Genitourinary_symptoms,Experiencing anorgasmia (difficulty reaching orgasm),"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11989.0,"It's crazy how I haven't had proper sleep for days, yet my energy levels are fine.",colloquial,Sleep_disturbance,"Going for days without sleep, yet not feeling tired","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
3017.0,"No matter what I try, my body just won't cooperate in the bedroom.",colloquial,Genitourinary_symptoms,Experiencing impotence,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
7480.0,I frequently experience pervasive thoughts about ending my own life.,clinical,Suicidal_ideas,Having recurrent thoughts of death,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11325.0,I keep losing track of what's been told to me. Directions seem to slip out of my mind quickly.,colloquial,Poor_memory,Inability to remember instructions or directions,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
3876.0,"The inability to remain motionless often results in continuous, non-goal directed movements like foot tapping.",clinical,Hyperactivity_agitation,Often fidgets with or taps hands or feet or squirms in seat,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
11059.0,I forget what I'm doing in the middle of doing it.,colloquial,Poor_memory,Poor memory,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
12502.0,"My nights of sleep provide insufficient restoration, resulting in persistent daytime fatigue.",clinical,Sleep_disturbance,Feeling unrefreshed after a full night's sleep,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
2693.0,"No matter what I do, I can't stop feeling this constant sadness.",colloquial,Depressed_Mood,Feeling a persistent sense of melancholy,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
9208.0,I've noticed a marked reduction in desire to engage in activities of previously held interest.,clinical,Loss_of_interest_or_motivation,I don't enjoy things as much as I used to.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1627.0,I feel like I'm running on empty; I struggle to find the energy to do anything these days.,colloquial,Decreased_energy_tiredness_fatigue,Having difficulty completing tasks due to low energy.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
11468.0,I frequently encounter challenges in maintaining retention of new data.,clinical,Poor_memory,Difficulty retaining new information,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
11817.0,I keep finding myself wide awake at random hours during the night.,colloquial,Sleep_disturbance,Difficulty staying asleep,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
879.0,I feel like I'm constantly on edge whenever I talk to anyone.,colloquial,Anger_Irritability,Experiencing tension in social interactions,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
13004.0,I experience significant physical discomfort after consuming large volumes of food.,clinical,Weight_and_appetite_change,Eating until feeling uncomfortably full,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
3689.0,It's like my body is stuck and it just won't let me orgasm.,colloquial,Genitourinary_symptoms,Experiencing anorgasmia (difficulty reaching orgasm),"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
4750.0,"I frequently find myself needing to move or shift in my seat, often resulting in observable changes in my sitting posture throughout the day.",clinical,Hyperactivity_agitation,Frequently changes positions or shifts in seat,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
3359.0,I always find myself waking up at night to take bathroom trips.,colloquial,Genitourinary_symptoms,Experiencing nocturia (waking up at night to urinate),"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
8296.0,My feelings of guilt and worthlessness are persistent and debilitating.,clinical,Worthlessness_and_guilty,,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
13356.0,There is a marked escalation in my food consumption that I find difficult to control.,clinical,Weight_and_appetite_change,Feeling that an unusually large amount of food has been consumed compared to others,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
5014.0,I experience frequent episodes of mind wandering during important activities.,clinical,Inattention,Diminished ability to concentrate,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9450.0,"I exhibit a marked decrease in motivation or interest in all or nearly all activities most of the day, nearly every day.",clinical,Loss_of_interest_or_motivation,Lose motivation to do things.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
8473.0,"No matter what I do, I just can't shake this feeling that I'm not good enough.",colloquial,Worthlessness_and_guilty,Criticizing oneself for all of one's faults,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
12385.0,"Every night I keep waking up, I can't get a full night's sleep.",colloquial,Sleep_disturbance,Waking up frequently during the night,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
5322.0,"Due to persistent inattention, I fail to finish projects at my job on time.",clinical,Inattention,Fails to finish duties in the workplace,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
11578.0,There is a persistent alteration in my sleep-wake cycle impacting daily functioning.,clinical,Sleep_disturbance,,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
6506.0,The inability to make decisions has become a significant hindrance in my daily activities.,clinical,Indecisiveness,,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
3096.0,I am observing menorrhagia symptoms that are impacting my daily activities due to high blood loss.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
13169.0,"I've been eating less and less, and my weight's really gone down because of it.",colloquial,Weight_and_appetite_change,"Restriction of energy intake, leading to a significantly low body weight","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
1503.0,"I'm always feeling drained and heavy, like I can't get going.",colloquial,Decreased_energy_tiredness_fatigue,Experiencing sustained fatigue without physical exertion.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
3362.0,Nighttime frequently awakens me for urination due to nocturia.,clinical,Genitourinary_symptoms,Experiencing nocturia (waking up at night to urinate),"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
1014.0,I have notable difficulty completing routine tasks due to persistent low energy.,clinical,Decreased_energy_tiredness_fatigue,,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
8631.0,I can’t stop feeling like a total failure at everything I do.,colloquial,Worthlessness_and_guilty,"Holding persistent and exaggerated negative beliefs or expectations about oneself, others, or the world","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
12846.0,"There has been a considerable increase in my appetite, accompanied by weight gain.",clinical,Weight_and_appetite_change,,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
4676.0,"There is a notable increase in purposeless physical activity, irrespective of tranquility around me.",clinical,Hyperactivity_agitation,Shows signs of restlessness even in calm environments,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1948.0,I endure a chronic state of dysphoria that feels relentless and consuming.,clinical,Depressed_Mood,Distressing sense of incompleteness or uneasiness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
13649.0,My appetite is all over the place and it’s really messing with my weight.,colloquial,Weight_and_appetite_change,Feeling a sense of loss of control over eating habits,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
8229.0,"I feel completely cornered, like the only way out is to end everything.",colloquial,Suicidal_ideas,Feeling trapped and seeing suicide as the only way out,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
5120.0,I consistently avoid activities that demand prolonged focus due to significant mental fatigue.,clinical,Inattention,Dislikes tasks that require sustained mental effort,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
12002.0,I frequently have disrupted sleep patterns and wake up multiple times throughout the night.,clinical,Sleep_disturbance,Insomnia,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
1601.0,I can't find the energy to get through my daily routine anymore.,colloquial,Decreased_energy_tiredness_fatigue,Having difficulty completing tasks due to low energy.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
818.0,My emotional response to minor stressors is consistently excessive.,clinical,Anger_Irritability,Having a short temper,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
5515.0,"I always lose track of what I need to do, and it’s so frustrating.",colloquial,Inattention,Difficulty organizing activities,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
6088.0,I have ongoing issues with misplacing necessary items required for completing job duties.,clinical,Inattention,Misplaces things at work,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
4977.0,Concentrating feels impossible because my mind just doesn't want to cooperate.,colloquial,Inattention,Diminished ability to think,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
3088.0,The amount of blood I lose each period hinders my regular activities due to its heaviness.,clinical,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
9122.0,I frequently feel a sense of estrangement from my peers and have diminished interest in social involvement.,clinical,Loss_of_interest_or_motivation,Feelings of detachment or estrangement from others.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
3403.0,Sometimes I just pee myself without being able to stop it.,colloquial,Genitourinary_symptoms,Experiencing urinary incontinence,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
7507.0,Every day I picture myself just disappearing forever.,colloquial,Suicidal_ideas,Having recurrent thoughts of death,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
539.0,I'm on such a short fuse these days it's ridiculous.,colloquial,Anger_Irritability,Experiencing frequent mood swings,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
3153.0,"Lately, my periods have been showing up whenever they want, with no real pattern.",colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
2309.0,"I'm feeling this unshakeable sadness all the time, it's like there's no escape.",colloquial,Depressed_Mood,Experiencing a pervasive sense of gloom,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
9513.0,I can't remember the last time I actually wanted to go out with my friends.,colloquial,Loss_of_interest_or_motivation,Social withdrawal or neglect of pleasurable avocations.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
5672.0,I habitually fail to catch minor errors because I do not focus on details.,clinical,Inattention,Fails to give close attention to details,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
3109.0,I'm so tired of this super heavy and endless period.,colloquial,Genitourinary_symptoms,Experiencing menorrhagia,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
6649.0,"I keep second-guessing everything, leaving things unfinished.",colloquial,Indecisiveness,Procrastinating on decision-making tasks,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9812.0,I have noticed a significant lack of motivation to engage in any leisure activities.,clinical,Loss_of_interest_or_motivation,Feeling emotionally numb or disconnected from surroundings.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11068.0,I have been experiencing diminished memory recall.,clinical,Poor_memory,Poor memory,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
10197.0,"No matter what, I can't shake the feeling that things are going from bad to worse.",colloquial,Pessimism,Discouraged about future,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
1234.0,"Every morning, I find it nearly impossible to rise and begin my day due to exhaustion.",clinical,Decreased_energy_tiredness_fatigue,Struggling to get out of bed in the morning.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
2966.0,I am presenting with primary or secondary amenorrhea and require further differential diagnosis.,clinical,Genitourinary_symptoms,Experiencing amenorrhea,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
5539.0,I swear my things have legs because they just vanish all the time.,colloquial,Inattention,Loses things necessary for tasks,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
4205.0,It's like my body has a mind of its own and I'm constantly fidgeting.,colloquial,Hyperactivity_agitation,"Exhibits inability to sit still, pacing, handwringing","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
13733.0,I can't tell why my weight's all over the place when I haven't done anything differently.,colloquial,Weight_and_appetite_change,Experiencing fluctuations in weight over a short period,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
373.0,I curse out my laptop when it's too slow.,colloquial,Anger_Irritability,Verbal aggression toward objects,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
11060.0,I experience frequent lapses in memory retention.,clinical,Poor_memory,Poor memory,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
12570.0,I exhibit persistent racing thoughts that interfere with my ability to initiate and maintain sleep.,clinical,Sleep_disturbance,Experiencing racing thoughts that prevent sleep,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
696.0,My mood is characterized by a persistent and severe irritation that is disproportionate to the situation.,clinical,Anger_Irritability,Feeling a constant sense of agitation,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
6121.0,"Sometimes it just seems like my mind isn't here, and I lose track of where I put my stuff at work.",colloquial,Inattention,Misplaces things at work,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
10550.0,I have a pervasive negative outlook regarding future events and outcomes.,clinical,Pessimism,Believing that positive changes are unlikely to occur,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
1373.0,I'm too worn out to do anything productive most of the time.,colloquial,Decreased_energy_tiredness_fatigue,Experiencing a noticeable decrease in productivity.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
13668.0,I am experiencing an uncontrollable increase in appetite leading to weight gain.,clinical,Weight_and_appetite_change,Feeling a sense of loss of control over eating habits,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
12165.0,"I suddenly snap awake at night feeling like I'm in a crisis, it's pure panic.",colloquial,Sleep_disturbance,Nocturnal panic attacks,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
634.0,"My levels of irritability are heightened, causing excessive reactions to minimal irritants.",clinical,Anger_Irritability,Reacting disproportionately to minor annoyances,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
10785.0,"I keep forgetting things, like names and places. It's so frustrating.",colloquial,Poor_memory,,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
744.0,I struggle with an ongoing sense of restlessness that contributes to my irritability.,clinical,Anger_Irritability,Feeling a persistent sense of restlessness,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
9656.0,There is a significant absence of motivation towards achieving past successes.,clinical,Loss_of_interest_or_motivation,Feeling indifferent towards achievements or successes.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
3143.0,I can't predict my periods anymore; they're just so irregular now.,colloquial,Genitourinary_symptoms,Experiencing menstrual irregularity,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
2174.0,There is a persistent absence of emotional engagement in my daily interactions.,clinical,Depressed_Mood,Feeling emotionally numb,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
5535.0,I can't even leave the house without losing track of my stuff.,colloquial,Inattention,Loses things necessary for tasks,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
